Reporting_Period,Holder_Sector,Instrument_Type,Issuer_Region,Issuer_Sector,Nominal_Currency,Original_Maturity,Holding_Amount
2024-12,MMF,Debt Securities,United Kingdom,CI,Non-Euro,Short-Term,78509.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,6485.00
2024-12,NFC,Listed Shares,Other Euro Area,NFC,Euro,N/A,57.00
2024-12,OFI,Debt Securities,Ireland,OFI,Euro,Short-Term,299.00
2024-12,IF,Listed Shares,Other Euro Area,CI,Euro,N/A,19461.00
2024-12,MMF,Debt Securities,Other Euro Area,NFC,Euro,Short-Term,1063.00
2024-12,FVC,Debt Securities,Rest of World,NFC,Euro,Long-Term,16090.00
2024-12,IF,Debt Securities,United Kingdom,NFC,Non-Euro,Short-Term,129.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,47932.00
2024-12,IF,Debt Securities,Other Euro Area,OFI,Non-Euro,Long-Term,17574.00
2024-12,IC,Debt Securities,Ireland,OFI,Non-Euro,Long-Term,1081.00
2024-12,OFI,Debt Securities,United States,NFC,Non-Euro,Long-Term,1496.00
2024-12,IF,Debt Securities,United Kingdom,NFC,Euro,Short-Term,69.00
2024-12,CI,Listed Shares,United Kingdom,NFC,Euro,N/A,176.00
2024-12,MMF,Debt Securities,Rest of World,OFI,Non-Euro,Long-Term,297.00
2024-12,OFI,Debt Securities,Rest of World,CI,Euro,Long-Term,990.00
2024-12,PF,Listed Shares,Rest of World,NFC,Non-Euro,N/A,323.00
2024-12,OFI,IF Shares,Rest of World,IF,Non-Euro,N/A,14.00
2024-12,MMF,Debt Securities,Ireland,OFI,Non-Euro,Short-Term,6115.00
2024-12,IC,Debt Securities,Rest of World,OFI,Euro,Long-Term,2216.00
2024-12,IC,Listed Shares,Rest of World,NFC,Euro,N/A,152.00
2024-12,PF,IF Shares,United Kingdom,IF,Non-Euro,N/A,80.00
2024-12,IF,Debt Securities,United States,OFI,Non-Euro,Short-Term,2482.00
2024-12,MMF,Debt Securities,Other Euro Area,GOV,Non-Euro,Long-Term,201.00
2024-12,CI,Debt Securities,Rest of World,GOV,Euro,Short-Term,107.00
2024-12,CI,Debt Securities,Other Euro Area,NFC,Euro,Short-Term,57.00
2024-12,CI,Debt Securities,Other Euro Area,OFI,Non-Euro,Short-Term,242.00
2024-12,IF,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,192228.00
2024-12,OFI,IF Shares,United States,IF,Non-Euro,N/A,221.00
2024-12,PF,IF Shares,Other Euro Area,IF,Non-Euro,N/A,104.00
2024-12,MMF,Debt Securities,United Kingdom,NFC,Non-Euro,Short-Term,589.00
2024-12,OFI,IF Shares,Other Euro Area,IF,Euro,N/A,237.00
2024-12,CI,Listed Shares,Other Euro Area,OFI,Non-Euro,N/A,39.00
2024-12,CI,Listed Shares,Other Euro Area,OFI,Euro,N/A,289.00
2024-12,MMF,Debt Securities,Rest of World,CI,Non-Euro,Long-Term,9322.00
2024-12,HH,Listed Shares,Ireland,OFI,Non-Euro,N/A,15.00
2024-12,NFC,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,35.00
2024-12,IF,IF Shares,United States,IF,Non-Euro,N/A,81822.00
2024-12,OFI,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,16071.00
2024-12,HH,Debt Securities,Ireland,NFC,Euro,Long-Term,19.00
2024-12,CI,Debt Securities,United Kingdom,OFI,Non-Euro,Long-Term,84.00
2024-12,NFC,Debt Securities,United States,GOV,Non-Euro,Short-Term,6277.00
2024-12,CI,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,-36.00
2024-12,OFI,MMF Shares,Ireland,MMF,Non-Euro,N/A,16.00
2024-12,IC,IF Shares,United Kingdom,IF,Euro,N/A,886.00
2024-12,NFC,Listed Shares,Ireland,NFC,Non-Euro,N/A,35.00
2024-12,MMF,Debt Securities,Rest of World,NFC,Non-Euro,Short-Term,1527.00
2024-12,NFC,Listed Shares,United Kingdom,OFI,Non-Euro,N/A,24.00
2024-12,PF,Listed Shares,United Kingdom,NFC,Non-Euro,N/A,53.00
2024-12,HH,IF Shares,United States,IF,Non-Euro,N/A,1083.00
2024-12,MMF,Debt Securities,Rest of World,CI,Euro,Short-Term,14678.00
2024-12,OFI,Listed Shares,United States,OFI,Non-Euro,N/A,165.00
2024-12,IF,IF Shares,United Kingdom,IF,Euro,N/A,862.00
2024-12,IC,Debt Securities,Rest of World,NFC,Euro,Long-Term,1206.00
2024-12,HH,Listed Shares,Ireland,NFC,Euro,N/A,3951.00
2024-12,MMF,Debt Securities,United States,OFI,Euro,Short-Term,1332.00
2024-12,MMF,Debt Securities,Other Euro Area,OFI,Non-Euro,Long-Term,456.00
2024-12,IC,Debt Securities,Ireland,OFI,Euro,Long-Term,1292.00
2024-12,HH,Listed Shares,United States,OFI,Non-Euro,N/A,554.00
2024-12,CI,Debt Securities,Rest of World,OFI,Non-Euro,Short-Term,20.00
2024-12,PF,Debt Securities,United Kingdom,OFI,Euro,Long-Term,86.00
2024-12,IF,MMF Shares,Other Euro Area,MMF,Non-Euro,N/A,5458.00
2024-12,IC,Debt Securities,Rest of World,CI,Euro,Short-Term,14.00
2024-12,CI,Listed Shares,Rest of World,NFC,Euro,N/A,20.00
2024-12,IF,MMF Shares,United States,MMF,Non-Euro,N/A,2608.00
2024-12,OFI,Debt Securities,Other Euro Area,OFI,Euro,Short-Term,32.00
2024-12,IC,Debt Securities,Other Euro Area,GOV,Non-Euro,Long-Term,96.00
2024-12,MMF,Debt Securities,Other Euro Area,CI,Non-Euro,Long-Term,1472.00
2024-12,FVC,Debt Securities,United States,NFC,Non-Euro,Long-Term,567.00
2024-12,IF,Debt Securities,Rest of World,OFI,Non-Euro,Long-Term,51859.00
2024-12,FVC,Debt Securities,United Kingdom,OFI,Non-Euro,Long-Term,1218.00
2024-12,IC,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,26959.00
2024-12,IF,Debt Securities,Rest of World,OFI,Euro,Short-Term,99.00
2024-12,HH,Listed Shares,Rest of World,OFI,Non-Euro,N/A,109.00
2024-12,HH,Debt Securities,United States,GOV,Non-Euro,Long-Term,86.00
2024-12,IC,Listed Shares,Other Euro Area,CI,Euro,N/A,879.00
2024-12,IC,Listed Shares,United States,CI,Non-Euro,N/A,578.00
2024-12,PF,Listed Shares,United States,OFI,Non-Euro,N/A,115.00
2024-12,IF,IF Shares,United States,IF,Euro,N/A,392.00
2024-12,OFI,Debt Securities,Rest of World,NFC,Euro,Long-Term,2587.00
2024-12,CI,IF Shares,Ireland,IF,Non-Euro,N/A,47.00
2024-12,IC,MMF Shares,United States,MMF,Non-Euro,N/A,17.00
2024-12,CI,Listed Shares,United Kingdom,NFC,Non-Euro,N/A,2067.00
2024-12,IF,Debt Securities,Ireland,OFI,Non-Euro,Long-Term,6344.00
2024-12,IF,Debt Securities,Ireland,NFC,Non-Euro,Long-Term,340.00
2024-12,NFC,Debt Securities,United States,OFI,Non-Euro,Long-Term,26.00
2024-12,IC,Listed Shares,Rest of World,OFI,Euro,N/A,26.00
2024-12,IC,Debt Securities,Rest of World,OFI,Non-Euro,Long-Term,2723.00
2024-12,IF,Listed Shares,United Kingdom,NFC,Euro,N/A,6264.00
2024-12,FVC,Debt Securities,Rest of World,GOV,Non-Euro,Long-Term,674.00
2024-12,PF,Debt Securities,United Kingdom,OFI,Non-Euro,Long-Term,159.00
2024-12,MMF,Debt Securities,Rest of World,NFC,Euro,Short-Term,140.00
2024-12,IF,Debt Securities,United States,NFC,Non-Euro,Short-Term,1800.00
2024-12,MMF,Debt Securities,Other Euro Area,GOV,Non-Euro,Short-Term,19017.00
2024-12,HH,Listed Shares,United Kingdom,NFC,Non-Euro,N/A,968.00
2024-12,IF,Debt Securities,Rest of World,NFC,Euro,Long-Term,7026.00
2024-12,IF,Listed Shares,United States,CI,Non-Euro,N/A,16047.00
2024-12,IC,Debt Securities,Rest of World,GOV,Non-Euro,Long-Term,1959.00
2024-12,CI,Debt Securities,United States,NFC,Euro,Long-Term,32.00
2024-12,PF,Listed Shares,Rest of World,OFI,Non-Euro,N/A,35.00
2024-12,IF,Debt Securities,Ireland,CI,Euro,Short-Term,-156.00
2024-12,IF,Debt Securities,Rest of World,GOV,Non-Euro,Long-Term,100090.00
2024-12,IF,Listed Shares,Ireland,NFC,Non-Euro,N/A,24220.00
2024-12,HH,Debt Securities,Ireland,CI,Euro,Long-Term,86.00
2024-12,PF,Debt Securities,United States,GOV,Non-Euro,Long-Term,129.00
2024-12,OFI,Debt Securities,United Kingdom,CI,Non-Euro,Long-Term,208.00
2024-12,IC,Listed Shares,Other Euro Area,NFC,Euro,N/A,6803.00
2024-12,IC,Debt Securities,Other Euro Area,OFI,Non-Euro,Long-Term,1212.00
2024-12,PF,Listed Shares,Rest of World,CI,Non-Euro,N/A,25.00
2024-12,IF,Debt Securities,Ireland,OFI,Euro,Short-Term,220.00
2024-12,OFI,Debt Securities,United Kingdom,GOV,Non-Euro,Short-Term,159.00
2024-12,IF,Listed Shares,Other Euro Area,NFC,Euro,N/A,139861.00
2024-12,IF,Debt Securities,Rest of World,CI,Euro,Short-Term,434.00
2024-12,IF,Debt Securities,United Kingdom,CI,Non-Euro,Long-Term,5341.00
2024-12,OFI,Listed Shares,United Kingdom,NFC,Euro,N/A,10.00
2024-12,OFI,Debt Securities,Ireland,GOV,Euro,Long-Term,306.00
2024-12,PF,Debt Securities,Ireland,NFC,Euro,Long-Term,20.00
2024-12,NFC,IF Shares,Ireland,IF,Euro,N/A,426.00
2024-12,NFC,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,91.00
2024-12,NFC,Debt Securities,Ireland,GOV,Euro,Long-Term,229.00
2024-12,NFC,Listed Shares,Ireland,NFC,Euro,N/A,619.00
2024-12,IC,Debt Securities,Other Euro Area,CI,Euro,Long-Term,8721.00
2024-12,PF,Debt Securities,United States,NFC,Euro,Long-Term,249.00
2024-12,IF,Debt Securities,United States,NFC,Euro,Long-Term,10539.00
2024-12,CI,IF Shares,Ireland,IF,Euro,N/A,83.00
2024-12,OFI,Listed Shares,Ireland,OFI,Euro,N/A,121.00
2024-12,IC,Debt Securities,United States,NFC,Non-Euro,Long-Term,5304.00
2024-12,MMF,Debt Securities,United States,OFI,Non-Euro,Short-Term,19198.00
2024-12,OFI,Debt Securities,United States,CI,Non-Euro,Long-Term,220.00
2024-12,MMF,Debt Securities,United States,CI,Non-Euro,Long-Term,4223.00
2024-12,FVC,Debt Securities,Ireland,NFC,Euro,Long-Term,3072.00
2024-12,CI,Debt Securities,United Kingdom,NFC,Non-Euro,Long-Term,19.00
2024-12,FVC,Debt Securities,Ireland,OFI,Non-Euro,Short-Term,145.00
2024-12,IC,Listed Shares,United States,NFC,Non-Euro,N/A,36709.00
2024-12,OFI,Debt Securities,Rest of World,OFI,Euro,Short-Term,52.00
2024-12,IF,Debt Securities,United States,CI,Non-Euro,Short-Term,-1137.00
2024-12,IC,MMF Shares,Ireland,MMF,Non-Euro,N/A,1431.00
2024-12,IC,Debt Securities,Other Euro Area,CI,Euro,Short-Term,104.00
2024-12,IF,IF Shares,Ireland,IF,Non-Euro,N/A,156455.00
2024-12,OFI,Listed Shares,Other Euro Area,OFI,Euro,N/A,45.00
2024-12,IC,Listed Shares,United Kingdom,NFC,Euro,N/A,263.00
2024-12,IF,Listed Shares,Other Euro Area,OFI,Euro,N/A,31616.00
2024-12,IC,Debt Securities,United States,CI,Non-Euro,Short-Term,517.00
2024-12,IF,MMF Shares,Ireland,MMF,Non-Euro,N/A,23017.00
2024-12,FVC,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,6473.00
2024-12,PF,IF Shares,United States,IF,Euro,N/A,176.00
2024-12,OFI,Debt Securities,United Kingdom,CI,Euro,Short-Term,302.00
2024-12,OFI,Debt Securities,United States,GOV,Euro,Long-Term,136.00
2024-12,HH,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,33.00
2024-12,PF,Debt Securities,Rest of World,NFC,Non-Euro,Long-Term,15.00
2024-12,IF,Debt Securities,Rest of World,OFI,Euro,Long-Term,6059.00
2024-12,IC,Debt Securities,Rest of World,OFI,Euro,Short-Term,20.00
2024-12,OFI,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,149.00
2024-12,OFI,Debt Securities,United Kingdom,NFC,Euro,Short-Term,36.00
2024-12,IF,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,106078.00
2024-12,NFC,Debt Securities,Rest of World,CI,Non-Euro,Short-Term,14.00
2024-12,IF,Debt Securities,United Kingdom,OFI,Non-Euro,Short-Term,32.00
2024-12,IF,Debt Securities,Other Euro Area,CI,Euro,Short-Term,845.00
2024-12,CI,Debt Securities,Ireland,NFC,Euro,Long-Term,113.00
2024-12,CI,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,419.00
2024-12,NFC,Debt Securities,Rest of World,GOV,Non-Euro,Short-Term,115.00
2024-12,IF,Listed Shares,Other Euro Area,OFI,Non-Euro,N/A,1381.00
2024-12,CI,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,-356.00
2024-12,IF,Listed Shares,United Kingdom,OFI,Euro,N/A,65.00
2024-12,OFI,Listed Shares,Rest of World,OFI,Non-Euro,N/A,324.00
2024-12,IC,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,2793.00
2024-12,IF,Debt Securities,Ireland,OFI,Euro,Long-Term,27802.00
2024-12,IC,Debt Securities,United States,GOV,Non-Euro,Long-Term,5243.00
2024-12,IC,Listed Shares,United Kingdom,OFI,Non-Euro,N/A,957.00
2024-12,MMF,Debt Securities,United States,NFC,Euro,Short-Term,581.00
2024-12,NFC,IF Shares,Ireland,IF,Non-Euro,N/A,193.00
2024-12,NFC,Listed Shares,Rest of World,NFC,Non-Euro,N/A,79.00
2024-12,FVC,Debt Securities,Other Euro Area,CI,Non-Euro,Short-Term,159.00
2024-12,HH,IF Shares,Ireland,IF,Non-Euro,N/A,1740.00
2024-12,HH,IF Shares,Ireland,IF,Euro,N/A,3733.00
2024-12,IC,Debt Securities,Other Euro Area,OFI,Euro,Long-Term,7541.00
2024-12,IC,Debt Securities,United Kingdom,CI,Non-Euro,Long-Term,405.00
2024-12,IC,Listed Shares,Other Euro Area,OFI,Euro,N/A,1580.00
2024-12,IC,Debt Securities,Rest of World,CI,Non-Euro,Long-Term,1421.00
2024-12,IF,Debt Securities,Other Euro Area,OFI,Euro,Short-Term,846.00
2024-12,CI,Debt Securities,United States,OFI,Non-Euro,Long-Term,762.00
2024-12,IC,Debt Securities,United Kingdom,NFC,Euro,Long-Term,603.00
2024-12,FVC,Debt Securities,Rest of World,GOV,Euro,Long-Term,212.00
2024-12,IF,Debt Securities,Ireland,CI,Non-Euro,Short-Term,107.00
2024-12,PF,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,12.00
2024-12,MMF,Debt Securities,United Kingdom,OFI,Euro,Short-Term,1288.00
2024-12,OFI,Debt Securities,Other Euro Area,CI,Euro,Short-Term,187.00
2024-12,HH,Listed Shares,Other Euro Area,OFI,Euro,N/A,180.00
2024-12,IF,Debt Securities,United States,OFI,Euro,Long-Term,6819.00
2024-12,PF,IF Shares,United States,IF,Non-Euro,N/A,3763.00
2024-12,IC,Debt Securities,Ireland,NFC,Euro,Long-Term,205.00
2024-12,PF,IF Shares,Other Euro Area,IF,Euro,N/A,3138.00
2024-12,IC,Debt Securities,United States,OFI,Euro,Long-Term,1829.00
2024-12,FVC,Debt Securities,United Kingdom,CI,Non-Euro,Long-Term,277.00
2024-12,PF,Listed Shares,Other Euro Area,CI,Euro,N/A,21.00
2024-12,HH,IF Shares,United Kingdom,IF,Euro,N/A,27.00
2024-12,IF,Debt Securities,United Kingdom,NFC,Euro,Long-Term,4395.00
2024-12,CI,Debt Securities,Ireland,GOV,Euro,Long-Term,9782.00
2024-12,PF,IF Shares,Ireland,IF,Euro,N/A,26270.00
2024-12,MMF,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,459.00
2024-12,MMF,Debt Securities,Ireland,OFI,Euro,Short-Term,4839.00
2024-12,IC,Debt Securities,Other Euro Area,OFI,Non-Euro,Short-Term,33.00
2024-12,PF,IF Shares,Rest of World,IF,Euro,N/A,346.00
2024-12,IF,Debt Securities,United States,OFI,Non-Euro,Long-Term,180132.00
2024-12,CI,Debt Securities,United Kingdom,OFI,Euro,Long-Term,118.00
2024-12,IF,MMF Shares,United States,MMF,Euro,N/A,97.00
2024-12,IF,Debt Securities,Other Euro Area,OFI,Non-Euro,Short-Term,256.00
2024-12,IF,Debt Securities,United Kingdom,OFI,Euro,Short-Term,151.00
2024-12,NFC,Debt Securities,United States,CI,Non-Euro,Short-Term,44.00
2024-12,CI,Debt Securities,Other Euro Area,CI,Non-Euro,Short-Term,288.00
2024-12,NFC,IF Shares,United States,IF,Non-Euro,N/A,87.00
2024-12,IF,Debt Securities,Other Euro Area,CI,Non-Euro,Long-Term,19675.00
2024-12,HH,IF Shares,Other Euro Area,IF,Euro,N/A,2482.00
2024-12,FVC,Debt Securities,Ireland,CI,Euro,Long-Term,24.00
2024-12,IF,Listed Shares,Rest of World,NFC,Euro,N/A,1675.00
2024-12,FVC,Debt Securities,Ireland,GOV,Euro,Long-Term,44.00
2024-12,NFC,Debt Securities,United States,GOV,Non-Euro,Long-Term,38.00
2024-12,IC,Debt Securities,Other Euro Area,CI,Non-Euro,Long-Term,1251.00
2024-12,IC,Debt Securities,United States,OFI,Non-Euro,Long-Term,4167.00
2024-12,MMF,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,12.00
2024-12,OFI,Debt Securities,Rest of World,NFC,Non-Euro,Long-Term,1335.00
2024-12,CI,Debt Securities,Other Euro Area,GOV,Non-Euro,Short-Term,160.00
2024-12,CI,MMF Shares,Ireland,MMF,Non-Euro,N/A,172.00
2024-12,PF,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,387.00
2024-12,OFI,Listed Shares,Ireland,NFC,Non-Euro,N/A,56.00
2024-12,OFI,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,1115.00
2024-12,FVC,Debt Securities,Rest of World,CI,Non-Euro,Long-Term,125.00
2024-12,IC,Debt Securities,Other Euro Area,OFI,Euro,Short-Term,30.00
2024-12,OFI,IF Shares,Ireland,IF,Euro,N/A,515.00
2024-12,OFI,MMF Shares,Other Euro Area,MMF,Euro,N/A,94.00
2024-12,IF,Debt Securities,Ireland,NFC,Euro,Long-Term,880.00
2024-12,OFI,Listed Shares,United Kingdom,NFC,Non-Euro,N/A,138.00
2024-12,OFI,IF Shares,United Kingdom,IF,Non-Euro,N/A,187.00
2024-12,IC,Debt Securities,Rest of World,GOV,Euro,Long-Term,1365.00
2024-12,CI,Debt Securities,United Kingdom,NFC,Euro,Long-Term,18.00
2024-12,NFC,Debt Securities,United Kingdom,CI,Euro,Long-Term,12.00
2024-12,CI,Debt Securities,Other Euro Area,OFI,Euro,Long-Term,1293.00
2024-12,IF,Debt Securities,Rest of World,CI,Non-Euro,Short-Term,4241.00
2024-12,FVC,Debt Securities,Rest of World,CI,Euro,Long-Term,438.00
2024-12,MMF,Debt Securities,Rest of World,NFC,Non-Euro,Long-Term,298.00
2024-12,FVC,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,580.00
2024-12,FVC,Debt Securities,Other Euro Area,CI,Euro,Long-Term,570.00
2024-12,IF,Listed Shares,United States,NFC,Non-Euro,N/A,1100605.00
2024-12,FVC,Debt Securities,United States,CI,Non-Euro,Long-Term,411.00
2024-12,PF,Debt Securities,United Kingdom,GOV,Non-Euro,Long-Term,93.00
2024-12,IF,MMF Shares,Ireland,MMF,Euro,N/A,5604.00
2024-12,MMF,Debt Securities,Rest of World,GOV,Non-Euro,Short-Term,3939.00
2024-12,CI,Debt Securities,United Kingdom,GOV,Non-Euro,Short-Term,2806.00
2024-12,FVC,Debt Securities,United States,OFI,Non-Euro,Long-Term,707.00
2024-12,OFI,MMF Shares,Ireland,MMF,Euro,N/A,56.00
2024-12,IF,Debt Securities,Ireland,OFI,Non-Euro,Short-Term,230.00
2024-12,OFI,Debt Securities,United States,GOV,Non-Euro,Long-Term,88.00
2024-12,IF,Listed Shares,Rest of World,CI,Non-Euro,N/A,49907.00
2024-12,IC,Debt Securities,United Kingdom,OFI,Euro,Long-Term,1493.00
2024-12,PF,Debt Securities,Rest of World,GOV,Euro,Long-Term,117.00
2024-12,IF,Debt Securities,United States,NFC,Non-Euro,Long-Term,124499.00
2024-12,PF,Debt Securities,United States,NFC,Non-Euro,Long-Term,259.00
2024-12,IC,MMF Shares,Other Euro Area,MMF,Euro,N/A,3265.00
2024-12,NFC,Debt Securities,United States,NFC,Non-Euro,Short-Term,30.00
2024-12,IF,Debt Securities,Other Euro Area,GOV,Non-Euro,Long-Term,600.00
2024-12,OFI,Debt Securities,United Kingdom,CI,Non-Euro,Short-Term,44.00
2024-12,HH,Listed Shares,United Kingdom,NFC,Euro,N/A,115.00
2024-12,IF,Debt Securities,Rest of World,NFC,Non-Euro,Short-Term,357.00
2024-12,IC,Listed Shares,Rest of World,OFI,Non-Euro,N/A,2968.00
2024-12,PF,Debt Securities,United States,GOV,Euro,Long-Term,22.00
2024-12,IF,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,9607.00
2024-12,OFI,Debt Securities,United States,NFC,Euro,Long-Term,15476.00
2024-12,IC,Listed Shares,Other Euro Area,OFI,Non-Euro,N/A,61.00
2024-12,MMF,Debt Securities,Other Euro Area,CI,Euro,Short-Term,46316.00
2024-12,OFI,Debt Securities,Other Euro Area,OFI,Euro,Long-Term,9033.00
2024-12,IF,Listed Shares,Ireland,NFC,Euro,N/A,11608.00
2024-12,IC,MMF Shares,Ireland,MMF,Euro,N/A,5907.00
2024-12,IC,IF Shares,United Kingdom,IF,Non-Euro,N/A,31363.00
2024-12,OFI,Debt Securities,Rest of World,CI,Non-Euro,Long-Term,271.00
2024-12,OFI,Debt Securities,United States,GOV,Euro,Short-Term,26.00
2024-12,OFI,Debt Securities,Rest of World,GOV,Non-Euro,Long-Term,2058.00
2024-12,IC,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,2516.00
2024-12,IC,MMF Shares,Rest of World,MMF,Euro,N/A,29.00
2024-12,HH,Listed Shares,Other Euro Area,CI,Euro,N/A,35.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Non-Euro,Short-Term,235.00
2024-12,IC,Debt Securities,Other Euro Area,NFC,Euro,Long-Term,6267.00
2024-12,PF,Debt Securities,Rest of World,CI,Euro,Long-Term,150.00
2024-12,CI,Debt Securities,Ireland,CI,Euro,Long-Term,11542.00
2024-12,OFI,Debt Securities,Other Euro Area,CI,Euro,Long-Term,4325.00
2024-12,MMF,Debt Securities,United States,NFC,Non-Euro,Short-Term,2626.00
2024-12,NFC,MMF Shares,Other Euro Area,MMF,Non-Euro,N/A,83.00
2024-12,PF,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,98.00
2024-12,OFI,Debt Securities,United Kingdom,CI,Euro,Long-Term,1592.00
2024-12,IF,Listed Shares,Other Euro Area,NFC,Non-Euro,N/A,81.00
2024-12,FVC,Debt Securities,Rest of World,NFC,Non-Euro,Long-Term,2032.00
2024-12,CI,Debt Securities,Rest of World,OFI,Euro,Long-Term,-45.00
2024-12,PF,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,8289.00
2024-12,NFC,Debt Securities,Other Euro Area,OFI,Euro,Long-Term,26.00
2024-12,IF,IF Shares,United Kingdom,IF,Non-Euro,N/A,18041.00
2024-12,IC,Debt Securities,United States,NFC,Euro,Long-Term,2915.00
2024-12,HH,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,129.00
2024-12,HH,Debt Securities,United States,OFI,Euro,Long-Term,31.00
2024-12,IC,Debt Securities,United Kingdom,NFC,Non-Euro,Long-Term,643.00
2024-12,MMF,Debt Securities,United States,GOV,Non-Euro,Short-Term,59525.00
2024-12,CI,Listed Shares,Rest of World,OFI,Non-Euro,N/A,-144.00
2024-12,IC,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,516.00
2024-12,HH,IF Shares,Other Euro Area,IF,Non-Euro,N/A,239.00
2024-12,IC,Listed Shares,Other Euro Area,NFC,Non-Euro,N/A,28.00
2024-12,IF,IF Shares,Other Euro Area,IF,Euro,N/A,30525.00
2024-12,MMF,Debt Securities,Other Euro Area,NFC,Non-Euro,Short-Term,846.00
2024-12,HH,Debt Securities,Other Euro Area,GOV,Euro,Long-Term,718.00
2024-12,IC,Listed Shares,Rest of World,NFC,Non-Euro,N/A,12878.00
2024-12,IC,MMF Shares,Other Euro Area,MMF,Non-Euro,N/A,764.00
2024-12,HH,Listed Shares,United Kingdom,OFI,Non-Euro,N/A,321.00
2024-12,CI,Debt Securities,Other Euro Area,CI,Euro,Long-Term,9263.00
2024-12,IF,Debt Securities,Ireland,CI,Non-Euro,Long-Term,136.00
2024-12,IF,Debt Securities,United Kingdom,GOV,Non-Euro,Short-Term,4209.00
2024-12,IC,Debt Securities,United Kingdom,GOV,Non-Euro,Short-Term,122.00
2024-12,MMF,Debt Securities,United Kingdom,CI,Euro,Short-Term,35893.00
2024-12,MMF,Debt Securities,Rest of World,GOV,Euro,Short-Term,2925.00
2024-12,IF,Listed Shares,Ireland,OFI,Euro,N/A,3361.00
2024-12,CI,Listed Shares,Other Euro Area,NFC,Euro,N/A,564.00
2024-12,PF,Debt Securities,United States,CI,Euro,Long-Term,39.00
2024-12,MMF,Debt Securities,Other Euro Area,OFI,Euro,Short-Term,13593.00
2024-12,MMF,Debt Securities,Other Euro Area,GOV,Euro,Short-Term,21904.00
2024-12,MMF,Debt Securities,United States,OFI,Euro,Long-Term,240.00
2024-12,FVC,Debt Securities,United States,GOV,Non-Euro,Long-Term,874.00
2024-12,OFI,IF Shares,United States,IF,Euro,N/A,35.00
2024-12,CI,Debt Securities,Ireland,NFC,Non-Euro,Long-Term,12.00
2024-12,CI,Debt Securities,Other Euro Area,NFC,Non-Euro,Long-Term,18.00
2024-12,CI,Listed Shares,Rest of World,NFC,Non-Euro,N/A,-731.00
2024-12,CI,Debt Securities,Rest of World,CI,Euro,Long-Term,4204.00
2024-12,IF,Debt Securities,Ireland,GOV,Euro,Long-Term,1106.00
2024-12,NFC,IF Shares,Other Euro Area,IF,Euro,N/A,223.00
2024-12,IF,Listed Shares,Rest of World,OFI,Euro,N/A,592.00
2024-12,IF,MMF Shares,Rest of World,MMF,Non-Euro,N/A,524.00
2024-12,IC,Listed Shares,Ireland,OFI,Euro,N/A,149.00
2024-12,IF,Debt Securities,Other Euro Area,NFC,Euro,Short-Term,175.00
2024-12,NFC,Listed Shares,United States,NFC,Non-Euro,N/A,199.00
2024-12,FVC,Debt Securities,United Kingdom,NFC,Non-Euro,Long-Term,1358.00
2024-12,CI,Debt Securities,Other Euro Area,CI,Non-Euro,Long-Term,540.00
2024-12,OFI,Debt Securities,United Kingdom,OFI,Euro,Long-Term,4935.00
2024-12,FVC,Debt Securities,Rest of World,OFI,Non-Euro,Short-Term,36.00
2024-12,IF,Listed Shares,Other Euro Area,CI,Non-Euro,N/A,13.00
2024-12,MMF,Debt Securities,Rest of World,CI,Euro,Long-Term,1406.00
2024-12,MMF,Debt Securities,Other Euro Area,CI,Euro,Long-Term,1846.00
2024-12,NFC,Listed Shares,Other Euro Area,CI,Euro,N/A,26.00
2024-12,IF,Listed Shares,United Kingdom,CI,Non-Euro,N/A,723.00
2024-12,MMF,Debt Securities,Ireland,OFI,Non-Euro,Long-Term,14.00
2024-12,OFI,Debt Securities,Ireland,NFC,Euro,Long-Term,1778.00
2024-12,IC,MMF Shares,Rest of World,MMF,Non-Euro,N/A,48.00
